key_key1[11001]    value=0
key_key1[11000]    value=1
key_key1[01000]    value=2
key_key1[10111]    value=3
key_key1[11010]    value=4
key_key1[01011]    value=5
key_key1[11011]    value=6
key_key1[01001]    value=7
key_key1[01110]    value=8
key_key1[01111]    value=9
key_key1[01010]    value=10
key_key1[10110]    value=11
key_key1[00111]    value=12
key_key1[10101]    value=13
key_key1[00101]    value=14
key_key1[01101]    value=15
key_key1[00011]    value=16
key_key1[01100]    value=17
key_key1[10100]    value=18
key_key1[10010]    value=19
key_key1[10001]    value=20
key_key1[10000]    value=21
key_key1[10011]    value=22
key_key1[00001]    value=23
key_key1[00000]    value=24
key_key1[00100]    value=25
key_key1[00110]    value=26
key_key1[00010]    value=27
