key=01011011110111      count=715
key=00000010010111      count=662
key=01011011110001      count=643
key=01011011110100      count=642
key=11000001011010      count=641
key=01011011110110      count=605
key=01011011110101      count=604
key=10111110100101      count=590
key=01111010110010      count=588
key=01011011111001      count=563
key=01011011111010      count=542
key=01011011111000      count=532
key=10111110010111      count=517
key=01101001111011      count=516
key=11011100111000      count=509
key=01011011110011      count=499
key=01011011111011      count=496
key=01011011110000      count=481
key=11001010100110      count=477
key=10111101110100      count=472
key=10111110000010      count=470
key=11000001011011      count=468
key=11001100000010      count=462
key=01100111000010      count=458
key=11010000010101      count=455
key=10111110111100      count=453
key=11010000010110      count=453
key=10111110011010      count=447
key=01100111000001      count=447
key=11010000010011      count=441
key=01001010011100      count=441
key=11010000010000      count=438
key=11001010010110      count=432
key=11010000010010      count=430
key=00011000011101      count=429
key=11001000011011      count=429
key=10111110100000      count=427
key=11001010001111      count=425
key=01111010100110      count=424
key=10111110100100      count=424
key=11010000010100      count=422
key=01101101111110      count=420
key=10111110011110      count=418
key=01000010010111      count=418
key=11000001110010      count=417
key=11001001110110      count=416
key=01001010011101      count=415
key=00101001110011      count=411
key=01111100000000      count=410
key=10111110000011      count=410
key=00101001110111      count=409
key=00111100111100      count=408
key=11001010001110      count=406
key=11001010001011      count=404
key=01011011110010      count=403
key=01001000000110      count=402
key=01001010011110      count=401
key=11001010010001      count=397
key=11001010001101      count=397
key=01111100100010      count=393
key=01110110011000      count=390
key=01111011111100      count=388
key=11001011101111      count=386
key=11001000011010      count=385
key=10111110011011      count=382
key=11001011000111      count=380
key=11010000010001      count=379
key=01010110011010      count=378
key=10111110100111      count=378
key=10111100111001      count=378
key=00101001101111      count=378
key=01101111010111      count=377
key=01011001001000      count=376
key=10111110000000      count=375
key=11010000010111      count=374
key=01111010101101      count=372
key=11001011110001      count=372
key=10111110100110      count=371
key=11001000001110      count=371
key=01111011111011      count=370
key=10111010000000      count=370
key=10011000011000      count=367
key=11001000010010      count=366
key=11000011101111      count=365
key=00110010010100      count=363
key=11001010000111      count=363
key=11001011000101      count=363
key=01011001001011      count=360
key=00101001010011      count=359
key=10101101000100      count=358
key=01011001001001      count=356
key=11001011000110      count=354
key=11001000011100      count=350
key=10110010100101      count=349
key=11001011000100      count=347
key=01111100011111      count=346
key=01010110010000      count=346
key=11001000000000      count=345
key=11001010011111      count=344
key=11001010100011      count=339
key=11001010100100      count=338
key=11001010010101      count=338
key=00011011001000      count=338
key=10111110000001      count=338
key=11001010000001      count=337
key=11001010010111      count=334
key=11001011010100      count=331
key=11001010001100      count=331
key=01101110101011      count=331
key=11001010100000      count=330
key=11001011011110      count=330
key=01000101000110      count=330
key=11001010101101      count=328
key=10111110101110      count=327
key=11000000011001      count=326
key=11001000010100      count=325
key=10111101110101      count=324
key=10111010111000      count=324
key=10111010010100      count=324
key=11001010001010      count=324
key=11001000001000      count=322
key=11000001001000      count=321
key=11001011100000      count=321
key=01111011110010      count=318
key=11011011010110      count=316
key=01000000110111      count=316
key=11001000000011      count=315
key=01111001111100      count=315
key=11001011011101      count=315
key=11011110011111      count=310
key=01101110100010      count=310
key=01000010111100      count=309
key=01000010100101      count=309
key=11001010101010      count=306
key=01011111100000      count=306
key=01000000010110      count=306
key=11001011001000      count=305
key=11001000001011      count=305
key=00101001010111      count=304
key=11001001110111      count=303
key=10110100111101      count=302
key=01001010110111      count=302
key=01110101000100      count=300
key=11001010010010      count=298
key=01000110001010      count=298
key=10111011010101      count=298
key=11001011010110      count=297
key=11010110000000      count=297
key=10110100100101      count=295
key=01000101010111      count=295
key=01011001001010      count=295
key=11011000111001      count=295
key=11010110000110      count=294
key=00111011101000      count=294
key=11001011100100      count=293
key=11000111111111      count=293
key=01000010101001      count=292
key=11001011000011      count=292
key=11001100000011      count=290
key=01111010100101      count=290
key=11001000001111      count=289
key=11001011011100      count=289
key=10111010010101      count=288
key=00000001000101      count=288
key=11001011100001      count=287
key=11001110010100      count=287
key=10111010100100      count=285
key=11010011111011      count=285
key=11001010010100      count=284
key=11010010000000      count=284
key=11010001111110      count=283
key=00101110000111      count=283
key=10111100110101      count=283
key=01011101011100      count=282
key=01000010111111      count=282
key=11001000000010      count=281
key=01011110011111      count=281
key=01000010110100      count=279
key=01011101011111      count=279
key=11001011001110      count=279
key=11001010100101      count=278
key=10110010111110      count=278
key=01001000111101      count=278
key=11010010010111      count=278
key=10110110111011      count=278
key=00101110000100      count=278
key=11001100000100      count=278
key=01100010011111      count=277
key=10111110001110      count=277
key=01001010110101      count=275
key=11000010001011      count=274
key=10111100110100      count=274
key=11001000000001      count=274
key=01011101010111      count=274
key=10111010001011      count=273
key=11001010100010      count=273
key=11011100010000      count=273
key=01101101000000      count=272
key=10111110001101      count=272
key=11001010000000      count=271
key=10000000010010      count=271
key=11011101100001      count=271
key=01101101111010      count=270
key=01000000010100      count=270
key=00000101101001      count=270
key=11001000011111      count=269
key=11001000000111      count=269
key=11000001000100      count=266
key=11000001101101      count=266
key=11001010101100      count=266
key=11001010101001      count=265
key=10101111011011      count=265
key=01100111000011      count=264
key=11000010000000      count=263
key=11001011101010      count=263
key=11000100000000      count=262
key=10111011001111      count=262
key=01010111111011      count=262
key=11001010101000      count=262
key=01000011001111      count=262
key=01000011110110      count=262
key=01000100010000      count=261
key=10101110100011      count=261
key=10110100111010      count=261
key=10111100010111      count=261
key=01110001110000      count=261
key=10111110101101      count=260
key=11010010010110      count=260
key=00101001010001      count=259
key=01000010011100      count=259
key=01000010100110      count=259
key=01001000000011      count=259
key=01111100000111      count=257
key=11010000011011      count=257
key=11000001011111      count=256
key=11001011100110      count=256
key=11000010001110      count=255
key=11011000101010      count=255
key=11000001111010      count=255
key=10111011101100      count=255
key=01011110001111      count=254
key=00011000001100      count=254
key=01100111111101      count=254
key=01000011110100      count=254
key=11010010011000      count=253
key=01111010101000      count=253
key=01000011110010      count=252
key=00110001100111      count=252
